Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving Average_Signal,Moving Average_Returns,Moving Average_Equity,SMA_Short,SMA_Long,Equity_Curve,RSI_Signal,RSI_Returns,RSI_Equity,RSI,Breakout Range_Signal,Breakout Range_Returns,Breakout Range_Equity,High_Range,Low_Range,Breakout_Haut,Breakout_Bas,Breakout_Equity,Bollinger Bands_Signal,Bollinger Bands_Returns,Bollinger Bands_Equity,bb_middle,bb_upper,bb_lower,ATR,Entry_Price,Stop_Loss_ATR_L,Take_Profit_ATR_L,Stop_Loss_ATR_S,Take_Profit_ATR_S,PSAR,Stop_Loss
2023-12-14 00:00:00+01:00,13.925120637810265,13.98433489024197,13.559968747820813,13.579707145690918,942775,0.0,0.0,1,-0.017844382532729908,1.0118707952916437,13.928081607818603,13.75471658706665,1.0118707952916437,0,-0.0,1.0505515585984044,35.21128933107401,-1,-0.0,0.9149716409275387,14.398831523808646,13.559968747820813,False,True,0.9149716409275387,1,-0.0,1.0221686268010037,13.993216848373413,14.3704078610447,13.616025835702125,0.28362404092205346,13.826431274414062,13.400995213030983,14.677303397180223,14.251867335797142,12.975559151647902,14.123558040932899,14.123558040932899
2023-12-15 00:00:00+01:00,13.619183039830109,13.846168968924278,13.609313840866374,13.75734806060791,589975,0.0,0.0,1,0.013081350946022585,1.0251074322768847,13.888605690002441,13.787613169352214,1.0251074322768847,0,0.0,1.0505515585984044,42.66055127206056,0,-0.013081350946022585,0.9030025757869073,14.398831523808646,13.559968747820813,False,False,0.9030025757869073,0,0.013081350946022585,1.0355399733342017,13.99420371055603,14.368808959853311,13.61959846125875,0.28239816823000397,13.579707145690918,13.156109893345912,14.42690165038093,14.003304398035924,12.732512641000906,14.06719911162169,14.06719911162169
2023-12-18 00:00:00+01:00,13.727741205013006,13.8165621120361,13.678396152091445,13.77708625793457,258472,0.0,0.0,1,0.0014347385295263582,1.0265781934068763,13.852090549468993,13.82083870569865,1.0265781934068763,0,0.0,1.0505515585984044,42.396323829999815,0,0.0,0.9030025757869073,14.398831523808646,13.559968747820813,False,False,0.9030025757869073,0,0.0,1.0355399733342017,13.987788867950439,14.37251561488916,13.603062121011718,0.2720958676381934,13.75734806060791,13.34920425915062,14.57363566352249,14.1654918620652,12.94106045769333,14.016476075241602,14.016476075241602
2023-12-19 00:00:00+01:00,13.757347914068122,14.004072238461712,13.757347914068122,13.95472812652588,288559,0.0,0.0,0,0.012894008592637007,1.0398149014536784,13.835313320159912,13.85603806177775,1.0398149014536784,0,0.0,1.0505515585984044,46.5811969341571,0,0.0,0.9030025757869073,14.398831523808646,13.559968747820813,False,False,0.9030025757869073,0,0.0,1.0355399733342017,13.986802005767823,14.371761579786071,13.601842431749574,0.2702836145492931,13.77708625793457,13.37166083611063,14.58793710158245,14.18251167975851,12.966235414286691,13.559968747820813,13.559968747820813
2023-12-20 00:00:00+01:00,13.98433507114084,13.98433507114084,13.698134886572356,13.83630084991455,325152,0.0,0.0,0,-0.0,1.0398149014536784,13.815575408935548,13.882026386260986,1.0398149014536784,0,-0.0,1.0505515585984044,47.186164752262535,0,-0.0,0.9030025757869073,14.398831523808646,13.559968747820813,False,False,0.9030025757869073,0,-0.0,1.0355399733342017,13.969531345367432,14.348916042941374,13.59014664779349,0.27142051240780674,13.95472812652588,13.54759735791417,14.7689896637493,14.36185889513759,13.140466589302461,13.568850817633631,13.568850817633631
2023-12-21 00:00:00+01:00,13.77708659671686,13.875776704986803,13.747479940707326,13.83630084991455,353382,0.0,0.0,0,0.0,1.0398149014536784,13.82347068786621,13.90702781677246,1.0398149014536784,0,0.0,1.0505515585984044,42.452851259540886,0,0.0,0.9030025757869073,14.398831523808646,13.559968747820813,False,False,0.9030025757869073,0,0.0,1.0355399733342017,13.944858932495118,14.289962601988977,13.599755263001258,0.2611973875414975,13.83630084991455,13.444504768602304,14.619893012539043,14.228096931226798,13.052708687290059,13.577555246050192,13.577555246050192
2023-12-22 00:00:00+01:00,13.796823301863697,13.816561698913574,13.69813414015003,13.816561698913574,157415,0.0,0.0,0,-0.0,1.0398149014536784,13.801758861541748,13.922160243988037,1.0398149014536784,0,-0.0,1.0505515585984044,42.25353007253412,0,-0.0,0.9030025757869073,14.319879471280895,13.559968747820813,False,False,0.9030025757869073,0,-0.0,1.0355399733342017,13.925614404678345,14.253850820493424,13.597377988863267,0.25240948198599916,13.83630084991455,13.457686626935551,14.593529295872548,14.21491507289355,13.079072403956554,13.586085585898422,13.586085585898422
2023-12-27 00:00:00+01:00,13.826431474961742,13.934989839734778,13.796823878150231,13.806693077087402,222777,0.0,0.0,0,-0.0,1.0398149014536784,13.812614727020264,13.931371275583903,1.0398149014536784,0,-0.0,1.0505515585984044,42.45283190874882,0,-0.0,0.9030025757869073,14.319879471280895,13.559968747820813,False,False,0.9030025757869073,0,-0.0,1.0355399733342017,13.912291288375854,14.237104942862619,13.58747763388909,0.2442492305287525,13.816561698913574,13.450187853120445,14.549309390499833,14.182935544706703,13.083814007327316,13.594445318949688,13.594445318949688
2023-12-28 00:00:00+01:00,13.826431238231182,13.875776290893556,13.698134477780451,13.875776290893556,249524,0.0,0.0,0,0.0,1.0398149014536784,13.806693363189698,13.934003035227457,1.0398149014536784,0,0.0,1.0505515585984044,46.190478381711486,0,0.0,0.9030025757869073,14.319879471280895,13.559968747820813,False,False,0.9030025757869073,0,0.0,1.0355399733342017,13.90094199180603,14.213990738306522,13.587893245305539,0.23949155785620627,13.806693077087402,13.447455740303093,14.52516775065602,14.165930413871711,13.088218403518784,13.602637857339928,13.602637857339928
2023-12-29 00:00:00+01:00,13.915251801805814,14.02381016204442,13.767216647467452,13.816561698913574,266555,0.0,0.0,0,-0.0,1.0398149014536784,13.805706405639649,13.93597682317098,1.0398149014536784,0,-0.0,1.0505515585984044,51.595737025416646,0,-0.0,0.9030025757869073,14.319879471280895,13.559968747820813,False,False,0.9030025757869073,0,-0.0,1.0355399733342017,13.886138486862183,14.18544507654109,13.586831897183277,0.24071312619340354,13.875776290893556,13.514706601603452,14.597915669473768,14.236845980183661,13.153636912313345,13.610666544962363,13.610666544962363
2024-01-02 00:00:00+01:00,13.92512018921868,14.19158290480946,13.856037681255996,13.895513534545898,285044,0.0,0.0,0,0.0,1.0398149014536784,13.837287044525146,13.941240247090658,1.0398149014536784,0,0.0,1.0505515585984044,45.83331416002506,0,0.0,0.9030025757869073,14.319879471280895,13.559968747820813,False,False,0.9030025757869073,0,0.0,1.0355399733342017,13.882684326171875,14.179876432839485,13.585492219504264,0.25030656045786653,13.816561698913574,13.441101858226775,14.567481380287173,14.192021539600374,13.065642017539975,13.627192289645645,13.627192289645645
2024-01-03 00:00:00+01:00,13.84616860226988,13.875776198377052,13.66852773151979,13.747479438781738,333640,0.0,0.0,0,-0.0,1.0398149014536784,13.83630018234253,13.94156920115153,1.0398149014536784,0,-0.0,1.0505515585984044,51.67785626639203,0,-0.0,0.9030025757869073,14.319879471280895,13.559968747820813,False,False,0.9030025757869073,0,-0.0,1.0355399733342017,13.862452936172485,14.137814957607223,13.587090914737747,0.24864079206988385,13.895513534545898,13.522552346441072,14.64143591075555,14.268474722650724,13.149591158336246,13.661055726555475,13.661055726555475
2024-01-04 00:00:00+01:00,13.717872380985964,13.816562489525454,13.6487898697155,13.78695583343506,432940,0.0,0.0,0,0.0,1.0398149014536784,13.837287139892577,13.937621625264486,1.0398149014536784,0,0.0,1.0505515585984044,44.18607264291086,0,0.0,0.9030025757869073,14.221189582411284,13.559968747820813,False,False,0.9030025757869073,0,0.0,1.0355399733342017,13.844688844680785,14.089731810022743,13.599645879338828,0.2428644940513174,13.747479438781738,13.383182697704763,14.47607292093569,14.111776179858714,13.018885956627786,14.19158290480946,14.19158290480946
2024-01-05 00:00:00+01:00,13.717871970037027,13.846168730823504,13.678396116039544,13.826431274414062,195248,0.0,0.0,0,0.0,1.0398149014536784,13.824457454681397,13.93268715540568,1.0398149014536784,0,0.0,1.0505515585984044,50.0,0,0.0,0.9030025757869073,14.19158290480946,13.559968747820813,False,False,0.9030025757869073,0,0.0,1.0355399733342017,13.829885387420655,14.039170597163027,13.620600177678282,0.2375007883893633,13.78695583343506,13.430704650851016,14.49945819860315,14.143207016019105,13.07445346826697,14.18072704410758,14.18072704410758
